input file name: ../sc-cnn-chainer/dataset/input.dat
epoch 38 / 100
train mean loss=0.0064835222438, accuracy=0.99916613102
 test mean loss=1.23835384846, accuracy=0.776944696903
epoch 39 / 100
train mean loss=0.0021775055211, accuracy=0.999687314034
 test mean loss=1.33198082447, accuracy=0.782567918301
epoch 40 / 100
train mean loss=0.00126864062622, accuracy=0.999791562557
 test mean loss=1.29314637184, accuracy=0.790065586567
epoch 41 / 100
train mean loss=0.00104204204399, accuracy=0.999791562557
 test mean loss=1.28277444839, accuracy=0.786316752434
epoch 42 / 100
train mean loss=0.00104720692616, accuracy=0.999791562557
 test mean loss=1.28388345242, accuracy=0.787253975868
epoch 43 / 100
train mean loss=0.000953604409005, accuracy=0.999791562557
 test mean loss=1.25951015949, accuracy=0.783505141735
epoch 44 / 100
train mean loss=0.00107773533091, accuracy=0.999791562557
 test mean loss=1.2230193615, accuracy=0.789128422737
epoch 45 / 100
train mean loss=0.0010597796645, accuracy=0.999791562557
 test mean loss=1.20405757427, accuracy=0.785379588604
epoch 46 / 100
train mean loss=0.000982177676633, accuracy=0.999791562557
 test mean loss=1.20139992237, accuracy=0.785379588604
epoch 47 / 100
train mean loss=0.00105996464845, accuracy=0.999791562557
 test mean loss=1.17503845692, accuracy=0.786316752434
epoch 48 / 100
train mean loss=0.00112367072143, accuracy=0.999791562557
 test mean loss=1.16861915588, accuracy=0.7938144207
epoch 49 / 100
train mean loss=0.00118382123765, accuracy=0.999791562557
 test mean loss=1.13182783127, accuracy=0.787253975868
epoch 50 / 100
train mean loss=0.00110401108395, accuracy=0.999791562557
 test mean loss=1.11598658562, accuracy=0.787253975868
epoch 51 / 100
train mean loss=0.00119483994786, accuracy=0.999791562557
 test mean loss=1.1105645895, accuracy=0.785379588604
epoch 52 / 100
train mean loss=0.00117668276653, accuracy=0.999791562557
 test mean loss=1.10235023499, accuracy=0.791002810001
epoch 53 / 100
train mean loss=0.00118746841326, accuracy=0.999791562557
 test mean loss=1.07882368565, accuracy=0.789128422737
epoch 54 / 100
train mean loss=0.00121826585382, accuracy=0.999791562557
 test mean loss=1.07452440262, accuracy=0.795688867569
epoch 55 / 100
train mean loss=0.00118173018564, accuracy=0.999791562557
 test mean loss=1.06851696968, accuracy=0.785379588604
epoch 56 / 100
train mean loss=0.00129362987354, accuracy=0.999791562557
 test mean loss=1.05832886696, accuracy=0.788191199303
epoch 57 / 100
train mean loss=0.00132721720729, accuracy=0.999791562557
 test mean loss=1.04732227325, accuracy=0.789128422737
epoch 58 / 100
train mean loss=0.00128906604368, accuracy=0.999791562557
 test mean loss=1.03723418713, accuracy=0.783505141735
epoch 59 / 100
train mean loss=0.0396584533155, accuracy=0.991140305996
 test mean loss=3.04722261429, accuracy=0.632614791393
epoch 60 / 100
train mean loss=0.357932209969, accuracy=0.85261619091
 test mean loss=0.648982644081, accuracy=0.766635417938
epoch 61 / 100
train mean loss=0.0945838391781, accuracy=0.968313515186
 test mean loss=1.22956335545, accuracy=0.729147136211
epoch 62 / 100
train mean loss=0.0387872345746, accuracy=0.986554086208
 test mean loss=1.00822091103, accuracy=0.77225869894
epoch 63 / 100
train mean loss=0.0145895332098, accuracy=0.995518028736
 test mean loss=1.1473839283, accuracy=0.769447028637
epoch 64 / 100
train mean loss=0.00370625522919, accuracy=0.99958306551
 test mean loss=1.19223427773, accuracy=0.780693531036
epoch 65 / 100
train mean loss=0.00165205681697, accuracy=0.999791562557
 test mean loss=1.19491708279, accuracy=0.779756307602
epoch 66 / 100
train mean loss=0.00114802177995, accuracy=0.999791562557
 test mean loss=1.19604253769, accuracy=0.785379588604
epoch 67 / 100
train mean loss=0.00106222170871, accuracy=0.999791562557
 test mean loss=1.18237566948, accuracy=0.783505141735
epoch 68 / 100
train mean loss=0.000995221897028, accuracy=0.999791562557
 test mean loss=1.15964686871, accuracy=0.78444236517
epoch 69 / 100
train mean loss=0.000948885863181, accuracy=0.999791562557
 test mean loss=1.16472601891, accuracy=0.780693531036
epoch 70 / 100
train mean loss=0.00104576710146, accuracy=0.999791562557
 test mean loss=1.12649619579, accuracy=0.787253975868
epoch 71 / 100
train mean loss=0.00104881462175, accuracy=0.999791562557
 test mean loss=1.09724998474, accuracy=0.789128422737
epoch 72 / 100
train mean loss=0.00105134060141, accuracy=0.999791562557
 test mean loss=1.07935345173, accuracy=0.791002810001
epoch 73 / 100
train mean loss=0.00105798523873, accuracy=0.999791562557
 test mean loss=1.06568205357, accuracy=0.789128422737
epoch 74 / 100
train mean loss=0.00114777055569, accuracy=0.999791562557
 test mean loss=1.08237361908, accuracy=0.781630754471
epoch 75 / 100
train mean loss=0.00122647942044, accuracy=0.999791562557
 test mean loss=1.07071745396, accuracy=0.78444236517
epoch 76 / 100
train mean loss=0.0011736167362, accuracy=0.999791562557
 test mean loss=1.03093385696, accuracy=0.789128422737
epoch 77 / 100
train mean loss=0.00117863400374, accuracy=0.999791562557
 test mean loss=1.03943836689, accuracy=0.792877197266
epoch 78 / 100
train mean loss=0.0012168881949, accuracy=0.999791562557
 test mean loss=1.01466095448, accuracy=0.791940033436
epoch 79 / 100
train mean loss=0.00117410800885, accuracy=0.999791562557
 test mean loss=0.998876750469, accuracy=0.790065586567
epoch 80 / 100
train mean loss=0.00118540332187, accuracy=0.999791562557
 test mean loss=0.998357117176, accuracy=0.792877197266
epoch 81 / 100
train mean loss=0.0011059071403, accuracy=0.999791562557
 test mean loss=0.979194641113, accuracy=0.792877197266
