input file name: ../sc-cnn-chainer/dataset/input.dat
epoch 38 / 100
train mean loss=0.0168768893927, accuracy=0.995726466179
 test mean loss=1.05650293827, accuracy=0.779756307602
epoch 39 / 100
train mean loss=0.0233003553003, accuracy=0.991765677929
 test mean loss=1.07270991802, accuracy=0.76382380724
epoch 40 / 100
train mean loss=0.00326509028673, accuracy=0.99958306551
 test mean loss=1.14566266537, accuracy=0.77319586277
epoch 41 / 100
train mean loss=0.00135226373095, accuracy=0.999687314034
 test mean loss=1.15072894096, accuracy=0.777881920338
epoch 42 / 100
train mean loss=0.00108339870349, accuracy=0.999687314034
 test mean loss=1.15703845024, accuracy=0.775070309639
epoch 43 / 100
train mean loss=0.00102911354043, accuracy=0.99958306551
 test mean loss=1.11776328087, accuracy=0.778819143772
epoch 44 / 100
train mean loss=0.000952157715801, accuracy=0.999687314034
 test mean loss=1.1055649519, accuracy=0.780693531036
epoch 45 / 100
train mean loss=0.000955170718953, accuracy=0.999687314034
 test mean loss=1.10445094109, accuracy=0.776007473469
epoch 46 / 100
train mean loss=0.000989618478343, accuracy=0.999687314034
 test mean loss=1.08364224434, accuracy=0.780693531036
epoch 47 / 100
train mean loss=0.000949278532062, accuracy=0.999687314034
 test mean loss=1.06056439877, accuracy=0.782567918301
epoch 48 / 100
train mean loss=0.00108617777005, accuracy=0.999687314034
 test mean loss=1.03718304634, accuracy=0.777881920338
epoch 49 / 100
train mean loss=0.00105194246862, accuracy=0.999687314034
 test mean loss=1.02813088894, accuracy=0.779756307602
epoch 50 / 100
train mean loss=0.00107213330921, accuracy=0.99958306551
 test mean loss=1.01117610931, accuracy=0.779756307602
epoch 51 / 100
train mean loss=0.0010736369295, accuracy=0.999687314034
 test mean loss=1.00305640697, accuracy=0.778819143772
epoch 52 / 100
train mean loss=0.00107976747677, accuracy=0.99958306551
 test mean loss=0.977770149708, accuracy=0.774133086205
epoch 53 / 100
train mean loss=0.00102105131373, accuracy=0.99958306551
 test mean loss=0.972605824471, accuracy=0.778819143772
epoch 54 / 100
train mean loss=0.00108422839548, accuracy=0.999687314034
 test mean loss=0.957921206951, accuracy=0.775070309639
epoch 55 / 100
train mean loss=0.00114302511793, accuracy=0.999478816986
 test mean loss=0.965267062187, accuracy=0.776007473469
epoch 56 / 100
train mean loss=0.00113169953693, accuracy=0.99958306551
 test mean loss=0.936904966831, accuracy=0.777881920338
epoch 57 / 100
train mean loss=0.00118438189384, accuracy=0.99958306551
 test mean loss=0.933964908123, accuracy=0.778819143772
epoch 58 / 100
train mean loss=0.00118026218843, accuracy=0.999687314034
 test mean loss=0.961140334606, accuracy=0.777881920338
epoch 59 / 100
train mean loss=0.00117763876915, accuracy=0.999478816986
 test mean loss=0.929304182529, accuracy=0.775070309639
epoch 60 / 100
train mean loss=0.00120002729818, accuracy=0.999687314034
 test mean loss=0.900818586349, accuracy=0.776944696903
epoch 61 / 100
train mean loss=0.00113850762136, accuracy=0.999687314034
 test mean loss=0.922418892384, accuracy=0.778819143772
epoch 62 / 100
train mean loss=0.00125058786944, accuracy=0.99958306551
 test mean loss=0.881317138672, accuracy=0.778819143772
epoch 63 / 100
train mean loss=0.00121947727166, accuracy=0.999687314034
 test mean loss=0.883317649364, accuracy=0.782567918301
epoch 64 / 100
train mean loss=0.00114947138354, accuracy=0.999687314034
 test mean loss=0.880541741848, accuracy=0.777881920338
epoch 65 / 100
train mean loss=0.00113609666005, accuracy=0.999687314034
 test mean loss=0.887779414654, accuracy=0.775070309639
epoch 66 / 100
train mean loss=0.00123133696616, accuracy=0.999791562557
 test mean loss=0.864429235458, accuracy=0.781630754471
epoch 67 / 100
train mean loss=0.00131472502835, accuracy=0.99958306551
 test mean loss=0.892501711845, accuracy=0.778819143772
epoch 68 / 100
train mean loss=0.234347641468, accuracy=0.927454650402
 test mean loss=0.723921298981, accuracy=0.740393638611
epoch 69 / 100
train mean loss=0.252172797918, accuracy=0.895351290703
 test mean loss=0.747418284416, accuracy=0.761949419975
epoch 70 / 100
train mean loss=0.103634096682, accuracy=0.963310420513
 test mean loss=0.852104961872, accuracy=0.766635417938
epoch 71 / 100
train mean loss=0.0274704769254, accuracy=0.992182612419
 test mean loss=1.01614832878, accuracy=0.77225869894
epoch 72 / 100
train mean loss=0.0177358966321, accuracy=0.994788408279
 test mean loss=1.13242959976, accuracy=0.77319586277
epoch 73 / 100
train mean loss=0.00255926931277, accuracy=0.999478816986
 test mean loss=1.13671064377, accuracy=0.781630754471
epoch 74 / 100
train mean loss=0.00131554540712, accuracy=0.999687314034
 test mean loss=1.14978015423, accuracy=0.776007473469
epoch 75 / 100
train mean loss=0.00102763064206, accuracy=0.999687314034
 test mean loss=1.13784992695, accuracy=0.780693531036
epoch 76 / 100
train mean loss=0.000942047918215, accuracy=0.999687314034
 test mean loss=1.15212786198, accuracy=0.785379588604
epoch 77 / 100
train mean loss=0.00096722447779, accuracy=0.999687314034
 test mean loss=1.10292601585, accuracy=0.780693531036
epoch 78 / 100
train mean loss=0.000936379772611, accuracy=0.999687314034
 test mean loss=1.09871137142, accuracy=0.785379588604
epoch 79 / 100
train mean loss=0.000978458323516, accuracy=0.999687314034
 test mean loss=1.0889056921, accuracy=0.783505141735
epoch 80 / 100
train mean loss=0.00100926216692, accuracy=0.999687314034
 test mean loss=1.08110880852, accuracy=0.782567918301
epoch 81 / 100
train mean loss=0.00109088001773, accuracy=0.99958306551
 test mean loss=1.02111709118, accuracy=0.787253975868
epoch 82 / 100
train mean loss=0.00105353514664, accuracy=0.999687314034
 test mean loss=1.00258851051, accuracy=0.786316752434
epoch 83 / 100
train mean loss=0.00107057706919, accuracy=0.999687314034
 test mean loss=1.01492476463, accuracy=0.782567918301
epoch 84 / 100
train mean loss=0.00111835624557, accuracy=0.99958306551
 test mean loss=1.00257110596, accuracy=0.783505141735
epoch 85 / 100
train mean loss=0.0010866735829, accuracy=0.99958306551
 test mean loss=1.01523995399, accuracy=0.783505141735
epoch 86 / 100
train mean loss=0.0011124870507, accuracy=0.999687314034
 test mean loss=0.981765627861, accuracy=0.779756307602
epoch 87 / 100
train mean loss=0.00110453786328, accuracy=0.999687314034
 test mean loss=0.959474802017, accuracy=0.78444236517
epoch 88 / 100
train mean loss=0.00108837126754, accuracy=0.999687314034
 test mean loss=0.958492815495, accuracy=0.780693531036
epoch 89 / 100
train mean loss=0.00118105555885, accuracy=0.999687314034
 test mean loss=0.921009838581, accuracy=0.781630754471
epoch 90 / 100
train mean loss=0.00119593925774, accuracy=0.99958306551
 test mean loss=0.922870516777, accuracy=0.776944696903
epoch 91 / 100
train mean loss=0.0012226481922, accuracy=0.999687314034
 test mean loss=0.915097296238, accuracy=0.777881920338
epoch 92 / 100
train mean loss=0.00126144336537, accuracy=0.99958306551
 test mean loss=0.899289309978, accuracy=0.779756307602
epoch 93 / 100
train mean loss=0.00117800210137, accuracy=0.999687314034
 test mean loss=0.899380683899, accuracy=0.780693531036
epoch 94 / 100
train mean loss=0.0012895562686, accuracy=0.999374628067
 test mean loss=0.88764411211, accuracy=0.778819143772
epoch 95 / 100
train mean loss=0.00113779096864, accuracy=0.999791562557
 test mean loss=0.889042615891, accuracy=0.781630754471
epoch 96 / 100
train mean loss=0.00136931880843, accuracy=0.99958306551
 test mean loss=0.89142626524, accuracy=0.778819143772
epoch 97 / 100
train mean loss=0.00113139976747, accuracy=0.99958306551
 test mean loss=0.870151281357, accuracy=0.780693531036
epoch 98 / 100
train mean loss=0.00142721098382, accuracy=0.999478816986
 test mean loss=0.879480719566, accuracy=0.779756307602
epoch 99 / 100
train mean loss=0.00141177733894, accuracy=0.999687314034
 test mean loss=0.849715590477, accuracy=0.780693531036
epoch 100 / 100
train mean loss=0.00133261235896, accuracy=0.999687314034
 test mean loss=0.86052942276, accuracy=0.779756307602
===============  1 / 10 ===============
epoch 1 / 100
train mean loss=0.588235914707, accuracy=0.672225117683
 test mean loss=0.50196492672, accuracy=0.755159497261
epoch 2 / 100
train mean loss=0.454850554466, accuracy=0.787389278412
 test mean loss=0.539073884487, accuracy=0.746716678143
epoch 3 / 100
train mean loss=0.39030444622, accuracy=0.825117230415
 test mean loss=0.442391455173, accuracy=0.78424012661
epoch 4 / 100
train mean loss=0.321400463581, accuracy=0.857842624187
 test mean loss=0.48952370882, accuracy=0.779549717903
epoch 5 / 100
train mean loss=0.247423782945, accuracy=0.899426758289
 test mean loss=0.517343461514, accuracy=0.785178244114
epoch 6 / 100
train mean loss=0.168955251575, accuracy=0.932464838028
 test mean loss=0.722007453442, accuracy=0.753283321857
epoch 7 / 100
train mean loss=0.105090267956, accuracy=0.961646676064
 test mean loss=1.02857244015, accuracy=0.719512224197
epoch 8 / 100
train mean loss=0.0581174194813, accuracy=0.979572713375
 test mean loss=0.847157776356, accuracy=0.774859309196
epoch 9 / 100
train mean loss=0.0477048046887, accuracy=0.984783768654
 test mean loss=0.919273555279, accuracy=0.78424012661
epoch 10 / 100
train mean loss=0.0100004663691, accuracy=0.997498691082
 test mean loss=1.02331840992, accuracy=0.785178244114
epoch 11 / 100
train mean loss=0.0293844640255, accuracy=0.989056825638
 test mean loss=1.01601171494, accuracy=0.788930594921
epoch 12 / 100
train mean loss=0.00487521104515, accuracy=0.99864512682
 test mean loss=1.80176496506, accuracy=0.713883697987
epoch 13 / 100
train mean loss=0.0116126388311, accuracy=0.997186005116
 test mean loss=1.11716067791, accuracy=0.787992477417
epoch 14 / 100
train mean loss=0.00104552530684, accuracy=0.999791562557
 test mean loss=1.16631901264, accuracy=0.792682945728
epoch 15 / 100
train mean loss=0.000798166438472, accuracy=0.999791562557
 test mean loss=1.16182887554, accuracy=0.790806770325
epoch 16 / 100
train mean loss=0.000739076698665, accuracy=0.999791562557
 test mean loss=1.1371383667, accuracy=0.796435296535
epoch 17 / 100
train mean loss=0.000690845074132, accuracy=0.999791562557
 test mean loss=1.11687779427, accuracy=0.792682945728
epoch 18 / 100
train mean loss=0.000707727740519, accuracy=0.999791562557
 test mean loss=1.10547184944, accuracy=0.787992477417
epoch 19 / 100
train mean loss=0.000723124889191, accuracy=0.999791562557
 test mean loss=1.08717596531, accuracy=0.78330206871
epoch 20 / 100
train mean loss=0.000756315886974, accuracy=0.999791562557
 test mean loss=1.05836451054, accuracy=0.791744828224
epoch 21 / 100
train mean loss=0.000743651995435, accuracy=0.999687314034
 test mean loss=1.04040384293, accuracy=0.789868652821
epoch 22 / 100
train mean loss=0.000752087915316, accuracy=0.999687314034
 test mean loss=1.02221167088, accuracy=0.801125705242
epoch 23 / 100
train mean loss=0.000789100537077, accuracy=0.999791562557
 test mean loss=1.00715875626, accuracy=0.787992477417
epoch 24 / 100
train mean loss=0.000773751235101, accuracy=0.999791562557
 test mean loss=1.001937747, accuracy=0.785178244114
epoch 25 / 100
train mean loss=0.000821495545097, accuracy=0.999687314034
 test mean loss=0.967966139317, accuracy=0.793621003628
epoch 26 / 100
train mean loss=0.000781429815106, accuracy=0.999895751476
 test mean loss=0.965633094311, accuracy=0.788930594921
epoch 27 / 100
train mean loss=0.000815317907836, accuracy=0.999791562557
 test mean loss=0.9547778368, accuracy=0.787992477417
epoch 28 / 100
train mean loss=0.000812816200778, accuracy=0.999895751476
 test mean loss=0.944458127022, accuracy=0.792682945728
epoch 29 / 100
train mean loss=0.000838604522869, accuracy=0.999687314034
 test mean loss=0.925543367863, accuracy=0.796435296535
epoch 30 / 100
train mean loss=0.000869942887221, accuracy=0.999791562557
 test mean loss=0.916911780834, accuracy=0.791744828224
epoch 31 / 100
train mean loss=0.000880988547578, accuracy=0.999687314034
 test mean loss=0.905732095242, accuracy=0.795497179031
epoch 32 / 100
train mean loss=0.000846139097121, accuracy=0.999895751476
 test mean loss=0.903535068035, accuracy=0.793621003628
epoch 33 / 100
train mean loss=0.000847106217407, accuracy=0.999895751476
 test mean loss=0.896125912666, accuracy=0.792682945728
epoch 34 / 100
train mean loss=0.000881807121914, accuracy=0.999895751476
 test mean loss=0.877966761589, accuracy=0.792682945728
epoch 35 / 100
train mean loss=0.000942072307225, accuracy=0.999895751476
 test mean loss=0.872267246246, accuracy=0.794559121132
epoch 36 / 100
train mean loss=0.000900056853425, accuracy=0.999895751476
 test mean loss=0.866758704185, accuracy=0.795497179031
epoch 37 / 100
train mean loss=0.000933199364226, accuracy=0.999791562557
 test mean loss=0.854766428471, accuracy=0.791744828224
epoch 38 / 100
train mean loss=0.000900014303625, accuracy=0.999791562557
 test mean loss=0.855183601379, accuracy=0.790806770325
epoch 39 / 100
train mean loss=0.000942868529819, accuracy=0.999895751476
 test mean loss=0.847889065742, accuracy=0.797373354435
epoch 40 / 100
train mean loss=0.000947129912674, accuracy=0.999791562557
 test mean loss=0.83615642786, accuracy=0.791744828224
epoch 41 / 100
train mean loss=0.000939404009841, accuracy=0.999895751476
 test mean loss=0.822352766991, accuracy=0.792682945728
epoch 42 / 100
train mean loss=0.000949417706579, accuracy=0.999791562557
 test mean loss=0.823523700237, accuracy=0.796435296535
epoch 43 / 100
train mean loss=0.000978379626758, accuracy=0.999895751476
 test mean loss=0.833877980709, accuracy=0.791744828224
epoch 44 / 100
train mean loss=0.256160527468, accuracy=0.919854104519
 test mean loss=0.820245027542, accuracy=0.699812412262
epoch 45 / 100
train mean loss=0.25916415453, accuracy=0.893069326878
 test mean loss=0.965898752213, accuracy=0.706378996372
epoch 46 / 100
train mean loss=0.125791087747, accuracy=0.951016128063
 test mean loss=0.691173017025, accuracy=0.775797367096
epoch 47 / 100
train mean loss=0.0344861224294, accuracy=0.988639891148
 test mean loss=1.143840909, accuracy=0.743902444839
epoch 48 / 100
train mean loss=0.00897853076458, accuracy=0.998228251934
 test mean loss=0.908421874046, accuracy=0.78424012661
epoch 49 / 100
train mean loss=0.00219110143371, accuracy=0.999791562557
 test mean loss=0.985951960087, accuracy=0.785178244114
epoch 50 / 100
train mean loss=0.000983188860118, accuracy=0.999791562557
 test mean loss=0.998091876507, accuracy=0.787054419518
epoch 51 / 100
train mean loss=0.000845875125378, accuracy=0.999791562557
 test mean loss=0.991431832314, accuracy=0.790806770325
epoch 52 / 100
train mean loss=0.000804647512268, accuracy=0.999791562557
 test mean loss=0.983703732491, accuracy=0.794559121132
epoch 53 / 100
train mean loss=0.00070658873301, accuracy=0.999895751476
 test mean loss=0.979769289494, accuracy=0.788930594921
epoch 54 / 100
train mean loss=0.00071895198198, accuracy=0.999791562557
 test mean loss=0.960518717766, accuracy=0.790806770325
epoch 55 / 100
train mean loss=0.000729443854652, accuracy=0.999791562557
 test mean loss=0.943051457405, accuracy=0.790806770325
epoch 56 / 100
train mean loss=0.000777881301474, accuracy=0.999791562557
 test mean loss=0.925681531429, accuracy=0.796435296535
epoch 57 / 100
train mean loss=0.000702836725395, accuracy=0.999895751476
 test mean loss=0.910590171814, accuracy=0.795497179031
epoch 58 / 100
train mean loss=0.000791240250692, accuracy=0.999791562557
 test mean loss=0.904079914093, accuracy=0.792682945728
epoch 59 / 100
train mean loss=0.000782248040196, accuracy=0.999791562557
 test mean loss=0.887994885445, accuracy=0.793621003628
epoch 60 / 100
train mean loss=0.000795711646788, accuracy=0.999687314034
 test mean loss=0.881702780724, accuracy=0.794559121132
epoch 61 / 100
train mean loss=0.000813901657239, accuracy=0.999791562557
 test mean loss=0.868161141872, accuracy=0.790806770325
epoch 62 / 100
train mean loss=0.000832571415231, accuracy=0.999791562557
 test mean loss=0.864272296429, accuracy=0.788930594921
epoch 63 / 100
train mean loss=0.000849329109769, accuracy=0.999791562557
 test mean loss=0.855587244034, accuracy=0.790806770325
epoch 64 / 100
train mean loss=0.000805598392617, accuracy=0.999895751476
 test mean loss=0.841289281845, accuracy=0.791744828224
epoch 65 / 100
train mean loss=0.000855479331221, accuracy=0.999895751476
 test mean loss=0.84210050106, accuracy=0.790806770325
epoch 66 / 100
train mean loss=0.000912905961741, accuracy=0.999687314034
 test mean loss=0.828271925449, accuracy=0.792682945728
epoch 67 / 100
train mean loss=0.000882250024006, accuracy=0.999791562557
 test mean loss=0.823189735413, accuracy=0.789868652821
epoch 68 / 100
train mean loss=0.000885257381015, accuracy=0.999791562557
 test mean loss=0.821773707867, accuracy=0.787992477417
epoch 69 / 100
train mean loss=0.000851369462907, accuracy=0.999895751476
 test mean loss=0.807730734348, accuracy=0.791744828224
epoch 70 / 100
train mean loss=0.000958545948379, accuracy=0.999791562557
 test mean loss=0.807639241219, accuracy=0.789868652821
epoch 71 / 100
train mean loss=0.000968140724581, accuracy=0.999791562557
 test mean loss=0.80109667778, accuracy=0.792682945728
epoch 72 / 100
train mean loss=0.000981591991149, accuracy=0.999791562557
 test mean loss=0.801701307297, accuracy=0.786116302013
epoch 73 / 100
train mean loss=0.000939416640904, accuracy=0.999895751476
 test mean loss=0.79655957222, accuracy=0.795497179031
epoch 74 / 100
train mean loss=0.000948677537963, accuracy=0.999791562557
 test mean loss=0.785201013088, accuracy=0.788930594921
epoch 75 / 100
train mean loss=0.000942762184422, accuracy=0.999895751476
 test mean loss=0.782302856445, accuracy=0.787992477417
epoch 76 / 100
train mean loss=0.318898737431, accuracy=0.899009883404
 test mean loss=0.587862670422, accuracy=0.774859309196
epoch 77 / 100
train mean loss=0.223251074553, accuracy=0.910369992256
 test mean loss=0.679325342178, accuracy=0.759849905968
epoch 78 / 100
train mean loss=0.0848558843136, accuracy=0.970818161964
 test mean loss=0.73780143261, accuracy=0.780487775803
epoch 79 / 100
train mean loss=0.0190184358507, accuracy=0.995518505573
 test mean loss=0.921521246433, accuracy=0.78424012661
epoch 80 / 100
train mean loss=0.00349085661583, accuracy=0.999687314034
 test mean loss=0.973550498486, accuracy=0.795497179031
epoch 81 / 100
train mean loss=0.00125334272161, accuracy=0.999687314034
 test mean loss=0.984789550304, accuracy=0.798311471939
epoch 82 / 100
train mean loss=0.000889809045475, accuracy=0.999687314034
 test mean loss=1.00857758522, accuracy=0.795497179031
epoch 83 / 100
train mean loss=0.000738610280678, accuracy=0.999791562557
 test mean loss=0.99401396513, accuracy=0.794559121132
epoch 84 / 100
train mean loss=0.000742446631193, accuracy=0.999791562557
 test mean loss=0.982330739498, accuracy=0.795497179031
epoch 85 / 100
train mean loss=0.000706106948201, accuracy=0.999791562557
 test mean loss=0.967302441597, accuracy=0.796435296535
epoch 86 / 100
train mean loss=0.000734359666239, accuracy=0.999791562557
 test mean loss=0.952011108398, accuracy=0.799249529839
epoch 87 / 100
train mean loss=0.000737994851079, accuracy=0.999895751476
 test mean loss=0.937329292297, accuracy=0.800187587738
epoch 88 / 100
train mean loss=0.000763466465287, accuracy=0.999895751476
 test mean loss=0.924575567245, accuracy=0.798311471939
epoch 89 / 100
train mean loss=0.000768353405874, accuracy=0.999791562557
 test mean loss=0.906643569469, accuracy=0.795497179031
epoch 90 / 100
train mean loss=0.000791847938672, accuracy=0.999895751476
 test mean loss=0.899084866047, accuracy=0.798311471939
epoch 91 / 100
train mean loss=0.000833306985442, accuracy=0.999791562557
 test mean loss=0.888629257679, accuracy=0.801125705242
epoch 92 / 100
train mean loss=0.000807883916423, accuracy=0.999895751476
 test mean loss=0.868186950684, accuracy=0.802063763142
epoch 93 / 100
train mean loss=0.000832070945762, accuracy=0.999895751476
 test mean loss=0.865274071693, accuracy=0.799249529839
epoch 94 / 100
train mean loss=0.000812656944618, accuracy=0.999895751476
 test mean loss=0.852467238903, accuracy=0.803939938545
epoch 95 / 100
train mean loss=0.000828877615277, accuracy=0.999791562557
 test mean loss=0.840404450893, accuracy=0.803001880646
epoch 96 / 100
train mean loss=0.000885625486262, accuracy=0.999895751476
 test mean loss=0.829037368298, accuracy=0.803001880646
epoch 97 / 100
train mean loss=0.000811163277831, accuracy=0.999895751476
 test mean loss=0.844048976898, accuracy=0.792682945728
epoch 98 / 100
train mean loss=0.000855078804307, accuracy=0.999791562557
 test mean loss=0.82279920578, accuracy=0.802063763142
epoch 99 / 100
train mean loss=0.000949594657868, accuracy=0.999791562557
 test mean loss=0.826056778431, accuracy=0.800187587738
epoch 100 / 100
train mean loss=0.000945800507907, accuracy=0.999895751476
 test mean loss=0.820512115955, accuracy=0.802063763142
===============  2 / 10 ===============
epoch 1 / 100
train mean loss=0.59180867672, accuracy=0.663366317749
 test mean loss=0.479774624109, accuracy=0.773921191692
epoch 2 / 100
train mean loss=0.461451977491, accuracy=0.780198037624
 test mean loss=0.496639072895, accuracy=0.757973730564
epoch 3 / 100
train mean loss=0.386540174484, accuracy=0.826263666153
 test mean loss=0.450438648462, accuracy=0.787992477417
epoch 4 / 100
train mean loss=0.323433816433, accuracy=0.861177682877
 test mean loss=0.51181769371, accuracy=0.757973730564
epoch 5 / 100
train mean loss=0.245407432318, accuracy=0.899531006813
 test mean loss=0.514467537403, accuracy=0.793621003628
epoch 6 / 100
train mean loss=0.16142642498, accuracy=0.935174584389
 test mean loss=0.624460458755, accuracy=0.780487775803
epoch 7 / 100
train mean loss=0.0986866801977, accuracy=0.963105797768
 test mean loss=0.870895624161, accuracy=0.775797367096
epoch 8 / 100
train mean loss=0.0327671319246, accuracy=0.989994764328
 test mean loss=1.01631522179, accuracy=0.770168840885
epoch 9 / 100
train mean loss=0.0204099565744, accuracy=0.993746757507
 test mean loss=1.75780367851, accuracy=0.718574106693
epoch 10 / 100
train mean loss=0.0135450735688, accuracy=0.995622694492
 test mean loss=1.13903236389, accuracy=0.778611660004
epoch 11 / 100
train mean loss=0.001763556269, accuracy=0.999687314034
 test mean loss=1.26801848412, accuracy=0.771106958389
epoch 12 / 100
train mean loss=0.00121278816368, accuracy=0.999478876591
 test mean loss=1.20385289192, accuracy=0.778611660004
epoch 13 / 100
train mean loss=0.00103908381425, accuracy=0.999687314034
 test mean loss=1.20424461365, accuracy=0.780487775803
epoch 14 / 100
train mean loss=0.000998383620754, accuracy=0.999687314034
 test mean loss=1.19491910934, accuracy=0.781425893307
epoch 15 / 100
train mean loss=0.000974545895588, accuracy=0.999478876591
 test mean loss=1.17142057419, accuracy=0.780487775803
epoch 16 / 100
train mean loss=0.00100409751758, accuracy=0.999374687672
 test mean loss=1.15494894981, accuracy=0.781425893307
epoch 17 / 100
train mean loss=0.000953994633164, accuracy=0.999583125114
 test mean loss=1.14585494995, accuracy=0.779549717903
epoch 18 / 100
train mean loss=0.000976874842308, accuracy=0.999687314034
 test mean loss=1.12507128716, accuracy=0.782363951206
epoch 19 / 100
train mean loss=0.00103247212246, accuracy=0.999583125114
 test mean loss=1.10048520565, accuracy=0.780487775803
epoch 20 / 100
train mean loss=0.00100940722041, accuracy=0.999687314034
 test mean loss=1.09427082539, accuracy=0.78330206871
epoch 21 / 100
train mean loss=0.00103939988185, accuracy=0.999687314034
 test mean loss=1.07593739033, accuracy=0.78424012661
epoch 22 / 100
train mean loss=0.00103608134668, accuracy=0.999583125114
 test mean loss=1.06561088562, accuracy=0.780487775803
epoch 23 / 100
train mean loss=0.0010405346984, accuracy=0.999687314034
 test mean loss=1.05562126637, accuracy=0.781425893307
epoch 24 / 100
train mean loss=0.00107562670019, accuracy=0.999583125114
 test mean loss=1.03550779819, accuracy=0.781425893307
epoch 25 / 100
