input file name: ../sc-cnn-chainer/dataset/input.dat
epoch 38 / 100
train mean loss=0.00122394808568, accuracy=0.999687314034
 test mean loss=1.18624567986, accuracy=0.776007473469
epoch 39 / 100
train mean loss=0.00124491623137, accuracy=0.999687314034
 test mean loss=1.17240762711, accuracy=0.776944696903
epoch 40 / 100
train mean loss=0.00129801477306, accuracy=0.999687314034
 test mean loss=1.19542455673, accuracy=0.766635417938
epoch 41 / 100
train mean loss=0.00124448421411, accuracy=0.999687314034
 test mean loss=1.11631894112, accuracy=0.78444236517
epoch 42 / 100
train mean loss=0.00121788447723, accuracy=0.999687314034
 test mean loss=1.10592544079, accuracy=0.783505141735
epoch 43 / 100
train mean loss=0.00120225327555, accuracy=0.999687314034
 test mean loss=1.10220873356, accuracy=0.776944696903
epoch 44 / 100
train mean loss=0.00123588193674, accuracy=0.999687314034
 test mean loss=1.0786857605, accuracy=0.78444236517
epoch 45 / 100
train mean loss=0.00126416841522, accuracy=0.999687314034
 test mean loss=1.07391619682, accuracy=0.785379588604
epoch 46 / 100
train mean loss=0.00128815311473, accuracy=0.999687314034
 test mean loss=1.05446314812, accuracy=0.786316752434
epoch 47 / 100
train mean loss=0.00126110739075, accuracy=0.999687314034
 test mean loss=1.08078920841, accuracy=0.775070309639
epoch 48 / 100
train mean loss=0.00130001408979, accuracy=0.999687314034
 test mean loss=1.03998947144, accuracy=0.783505141735
epoch 49 / 100
train mean loss=0.0013556726044, accuracy=0.999687314034
 test mean loss=1.02164721489, accuracy=0.78444236517
epoch 50 / 100
train mean loss=0.00134156970307, accuracy=0.999687314034
 test mean loss=1.0237634182, accuracy=0.785379588604
epoch 51 / 100
train mean loss=0.00141614454333, accuracy=0.999687314034
 test mean loss=1.00974738598, accuracy=0.783505141735
epoch 52 / 100
train mean loss=0.00139186764136, accuracy=0.999687314034
 test mean loss=1.00766730309, accuracy=0.788191199303
epoch 53 / 100
train mean loss=0.00134731573053, accuracy=0.999687314034
 test mean loss=0.996115028858, accuracy=0.78444236517
epoch 54 / 100
train mean loss=0.00136295880657, accuracy=0.99958306551
 test mean loss=0.993306040764, accuracy=0.787253975868
epoch 55 / 100
train mean loss=0.203466311097, accuracy=0.93204087019
 test mean loss=1.2464466095, accuracy=0.686035633087
epoch 56 / 100
train mean loss=0.204491466284, accuracy=0.919324576855
 test mean loss=0.796808540821, accuracy=0.758200585842
epoch 57 / 100
train mean loss=0.0830797851086, accuracy=0.970085442066
 test mean loss=1.03109538555, accuracy=0.750702917576
epoch 58 / 100
train mean loss=0.0317669548094, accuracy=0.990827620029
 test mean loss=1.04733836651, accuracy=0.77319586277
epoch 59 / 100
train mean loss=0.017909694463, accuracy=0.994475722313
 test mean loss=1.12279188633, accuracy=0.769447028637
epoch 60 / 100
train mean loss=0.00614002766088, accuracy=0.998436510563
 test mean loss=1.15782892704, accuracy=0.765698194504
epoch 61 / 100
train mean loss=0.00202663824894, accuracy=0.99958306551
 test mean loss=1.19649171829, accuracy=0.770384252071
epoch 62 / 100
train mean loss=0.0012892333325, accuracy=0.999687314034
 test mean loss=1.25574696064, accuracy=0.770384252071
epoch 63 / 100
train mean loss=0.00119744928088, accuracy=0.999687314034
 test mean loss=1.23340010643, accuracy=0.77319586277
epoch 64 / 100
train mean loss=0.00109903118573, accuracy=0.999687314034
 test mean loss=1.21928012371, accuracy=0.774133086205
epoch 65 / 100
train mean loss=0.00105821155012, accuracy=0.999687314034
 test mean loss=1.23143279552, accuracy=0.771321475506
epoch 66 / 100
train mean loss=0.00109503802378, accuracy=0.999687314034
 test mean loss=1.14599955082, accuracy=0.769447028637
epoch 67 / 100
train mean loss=0.001171787153, accuracy=0.999687314034
 test mean loss=1.14735758305, accuracy=0.77319586277
epoch 68 / 100
train mean loss=0.00110421015415, accuracy=0.999687314034
 test mean loss=1.12563538551, accuracy=0.77225869894
epoch 69 / 100
train mean loss=0.00124369608238, accuracy=0.999687314034
 test mean loss=1.14966881275, accuracy=0.774133086205
epoch 70 / 100
train mean loss=0.0011951365741, accuracy=0.999687314034
 test mean loss=1.11153817177, accuracy=0.777881920338
epoch 71 / 100
train mean loss=0.0012337944936, accuracy=0.999687314034
 test mean loss=1.05147242546, accuracy=0.770384252071
epoch 72 / 100
train mean loss=0.00124399748165, accuracy=0.999687314034
 test mean loss=1.04800915718, accuracy=0.775070309639
epoch 73 / 100
train mean loss=0.00129308563191, accuracy=0.99958306551
 test mean loss=1.21836900711, accuracy=0.759137749672
epoch 74 / 100
train mean loss=0.00129497644957, accuracy=0.99958306551
 test mean loss=1.07308161259, accuracy=0.77225869894
epoch 75 / 100
train mean loss=0.00134665169753, accuracy=0.99958306551
 test mean loss=1.03327596188, accuracy=0.776944696903
epoch 76 / 100
train mean loss=0.00134243373759, accuracy=0.999478816986
 test mean loss=1.00765609741, accuracy=0.778819143772
epoch 77 / 100
train mean loss=0.00134035490919, accuracy=0.999687314034
 test mean loss=0.988833129406, accuracy=0.776944696903
epoch 78 / 100
train mean loss=0.00145620165858, accuracy=0.99958306551
 test mean loss=0.997891306877, accuracy=0.775070309639
epoch 79 / 100
train mean loss=0.00139193388168, accuracy=0.999687314034
 test mean loss=0.980143368244, accuracy=0.77319586277
epoch 80 / 100
train mean loss=0.00129253661726, accuracy=0.99958306551
 test mean loss=0.970954120159, accuracy=0.786316752434
epoch 81 / 100
train mean loss=0.00136332330294, accuracy=0.999687314034
 test mean loss=0.965228974819, accuracy=0.785379588604
epoch 82 / 100
train mean loss=0.234169438481, accuracy=0.919741511345
 test mean loss=1.2607653141, accuracy=0.671040296555
epoch 83 / 100
train mean loss=0.226072892547, accuracy=0.911298751831
 test mean loss=1.0677241087, accuracy=0.720712304115
epoch 84 / 100
train mean loss=0.0808610618114, accuracy=0.97196161747
 test mean loss=0.96799904108, accuracy=0.748828470707
epoch 85 / 100
train mean loss=0.025496063754, accuracy=0.992703795433
 test mean loss=1.12969529629, accuracy=0.774133086205
epoch 86 / 100
train mean loss=0.00558235356584, accuracy=0.999374628067
 test mean loss=1.2267998457, accuracy=0.770384252071
epoch 87 / 100
train mean loss=0.00198340765201, accuracy=0.999687314034
 test mean loss=1.25642287731, accuracy=0.769447028637
epoch 88 / 100
train mean loss=0.00147986994125, accuracy=0.999687314034
 test mean loss=1.27262187004, accuracy=0.769447028637
epoch 89 / 100
train mean loss=0.00129470799584, accuracy=0.999687314034
 test mean loss=1.25979661942, accuracy=0.766635417938
epoch 90 / 100
train mean loss=0.00115816143807, accuracy=0.999687314034
 test mean loss=1.2205966711, accuracy=0.77319586277
epoch 91 / 100
train mean loss=0.00119605613872, accuracy=0.999687314034
 test mean loss=1.20925426483, accuracy=0.771321475506
epoch 92 / 100
train mean loss=0.00118151912466, accuracy=0.999687314034
 test mean loss=1.17633616924, accuracy=0.77225869894
epoch 93 / 100
train mean loss=0.00109906494617, accuracy=0.999687314034
 test mean loss=1.17666077614, accuracy=0.769447028637
epoch 94 / 100
train mean loss=0.00120920909103, accuracy=0.999687314034
 test mean loss=1.18424737453, accuracy=0.764761030674
epoch 95 / 100
train mean loss=0.00123329786584, accuracy=0.999687314034
 test mean loss=1.18756175041, accuracy=0.765698194504
epoch 96 / 100
train mean loss=0.00127798924223, accuracy=0.999687314034
 test mean loss=1.11080384254, accuracy=0.766635417938
epoch 97 / 100
train mean loss=0.00125544564798, accuracy=0.999687314034
 test mean loss=1.09720003605, accuracy=0.764761030674
epoch 98 / 100
train mean loss=0.00125741423108, accuracy=0.99958306551
 test mean loss=1.08795309067, accuracy=0.765698194504
epoch 99 / 100
train mean loss=0.0013037197059, accuracy=0.999687314034
 test mean loss=1.08807599545, accuracy=0.76382380724
epoch 100 / 100
train mean loss=0.00136677571572, accuracy=0.999687314034
 test mean loss=1.09323728085, accuracy=0.762886583805
===============  1 / 10 ===============
epoch 1 / 100
train mean loss=0.590174913406, accuracy=0.67118293047
 test mean loss=0.472615361214, accuracy=0.767354607582
epoch 2 / 100
train mean loss=0.456905663013, accuracy=0.78801459074
 test mean loss=0.443610012531, accuracy=0.78424012661
epoch 3 / 100
train mean loss=0.40019184351, accuracy=0.818863987923
 test mean loss=0.441924840212, accuracy=0.781425893307
epoch 4 / 100
train mean loss=0.33776524663, accuracy=0.856383562088
 test mean loss=0.53417879343, accuracy=0.755159497261
epoch 5 / 100
train mean loss=0.280834287405, accuracy=0.881500780582
 test mean loss=0.575400829315, accuracy=0.774859309196
epoch 6 / 100
train mean loss=0.224010974169, accuracy=0.908285558224
 test mean loss=0.566464066505, accuracy=0.787054419518
epoch 7 / 100
train mean loss=0.160445168614, accuracy=0.935591459274
 test mean loss=0.739736974239, accuracy=0.757973730564
epoch 8 / 100
train mean loss=0.111721761525, accuracy=0.956852555275
 test mean loss=0.686926722527, accuracy=0.787992477417
epoch 9 / 100
train mean loss=0.0676372945309, accuracy=0.975091218948
 test mean loss=0.876138567924, accuracy=0.788930594921
epoch 10 / 100
train mean loss=0.0411730967462, accuracy=0.98655551672
 test mean loss=1.11797177792, accuracy=0.764540314674
epoch 11 / 100
train mean loss=0.0207366328686, accuracy=0.993017196655
 test mean loss=1.17025089264, accuracy=0.788930594921
epoch 12 / 100
train mean loss=0.0260075591505, accuracy=0.992287635803
 test mean loss=1.05606973171, accuracy=0.7776735425
epoch 13 / 100
train mean loss=0.0198464021087, accuracy=0.993017196655
 test mean loss=1.47977876663, accuracy=0.765478432178
epoch 14 / 100
train mean loss=0.0141372801736, accuracy=0.99541425705
 test mean loss=1.16156375408, accuracy=0.782363951206
epoch 15 / 100
train mean loss=0.00406241370365, accuracy=0.999062001705
 test mean loss=1.19859600067, accuracy=0.782363951206
epoch 16 / 100
train mean loss=0.00163771538064, accuracy=0.999687314034
 test mean loss=1.19197285175, accuracy=0.785178244114
epoch 17 / 100
train mean loss=0.00100447132718, accuracy=0.999895751476
 test mean loss=1.18633139133, accuracy=0.789868652821
epoch 18 / 100
train mean loss=0.000894473749213, accuracy=0.999791562557
 test mean loss=1.18636846542, accuracy=0.789868652821
epoch 19 / 100
train mean loss=0.000795959786046, accuracy=0.999895751476
 test mean loss=1.17511713505, accuracy=0.786116302013
epoch 20 / 100
train mean loss=0.000747773679905, accuracy=0.999791562557
 test mean loss=1.15360665321, accuracy=0.787992477417
epoch 21 / 100
train mean loss=0.000789181154687, accuracy=0.999791562557
 test mean loss=1.13284933567, accuracy=0.787992477417
epoch 22 / 100
train mean loss=0.000804710725788, accuracy=0.999791562557
 test mean loss=1.1148276329, accuracy=0.788930594921
epoch 23 / 100
train mean loss=0.000872173754033, accuracy=0.999791562557
 test mean loss=1.09557723999, accuracy=0.787054419518
epoch 24 / 100
train mean loss=0.000859955092892, accuracy=0.999791562557
 test mean loss=1.07428026199, accuracy=0.789868652821
epoch 25 / 100
train mean loss=0.000895024219062, accuracy=0.999895751476
 test mean loss=1.05583882332, accuracy=0.789868652821
epoch 26 / 100
train mean loss=0.000924430554733, accuracy=0.999687314034
 test mean loss=1.03941845894, accuracy=0.791744828224
epoch 27 / 100
train mean loss=0.000872005126439, accuracy=0.999895751476
 test mean loss=1.03673303127, accuracy=0.792682945728
epoch 28 / 100
train mean loss=0.277297735214, accuracy=0.897550821304
 test mean loss=1.05338656902, accuracy=0.720450282097
epoch 29 / 100
train mean loss=0.144932955503, accuracy=0.941115140915
 test mean loss=1.06121325493, accuracy=0.727016866207
epoch 30 / 100
train mean loss=0.0528428629041, accuracy=0.981031775475
 test mean loss=1.01016545296, accuracy=0.760787963867
epoch 31 / 100
train mean loss=0.0175170525908, accuracy=0.99531006813
 test mean loss=1.02123403549, accuracy=0.796435296535
epoch 32 / 100
train mean loss=0.00340488459915, accuracy=0.999791562557
 test mean loss=1.05973851681, accuracy=0.787992477417
epoch 33 / 100
train mean loss=0.00145364494529, accuracy=0.999791562557
 test mean loss=1.10913026333, accuracy=0.793621003628
epoch 34 / 100
train mean loss=0.00109872559551, accuracy=0.999791562557
 test mean loss=1.09399247169, accuracy=0.796435296535
epoch 35 / 100
train mean loss=0.000939947844017, accuracy=0.999791562557
 test mean loss=1.09432840347, accuracy=0.795497179031
epoch 36 / 100
train mean loss=0.000882672262378, accuracy=0.999791562557
 test mean loss=1.08144748211, accuracy=0.794559121132
epoch 37 / 100
train mean loss=0.000872701755725, accuracy=0.999791562557
 test mean loss=1.06825911999, accuracy=0.794559121132
epoch 38 / 100
train mean loss=0.000898192462046, accuracy=0.999895751476
 test mean loss=1.05647838116, accuracy=0.789868652821
epoch 39 / 100
train mean loss=0.00091526855249, accuracy=0.999791562557
 test mean loss=1.05060136318, accuracy=0.797373354435
epoch 40 / 100
train mean loss=0.000929925008677, accuracy=0.999687314034
 test mean loss=1.03685951233, accuracy=0.793621003628
epoch 41 / 100
train mean loss=0.000903783773538, accuracy=0.999895751476
 test mean loss=1.02949249744, accuracy=0.796435296535
epoch 42 / 100
train mean loss=0.000898355443496, accuracy=0.999791562557
 test mean loss=1.01311600208, accuracy=0.794559121132
epoch 43 / 100
train mean loss=0.000926143664401, accuracy=0.999791562557
 test mean loss=1.00274085999, accuracy=0.796435296535
epoch 44 / 100
train mean loss=0.000935312709771, accuracy=0.999791562557
 test mean loss=1.00041675568, accuracy=0.795497179031
epoch 45 / 100
train mean loss=0.000938881887123, accuracy=0.999895751476
 test mean loss=0.982841432095, accuracy=0.794559121132
epoch 46 / 100
train mean loss=0.0010225934675, accuracy=0.999687314034
 test mean loss=0.984343528748, accuracy=0.793621003628
epoch 47 / 100
train mean loss=0.00100137852132, accuracy=0.999791562557
 test mean loss=0.973804473877, accuracy=0.790806770325
epoch 48 / 100
train mean loss=0.000998064177111, accuracy=0.999895751476
 test mean loss=0.963626146317, accuracy=0.796435296535
epoch 49 / 100
train mean loss=0.00102267332841, accuracy=0.999791562557
 test mean loss=0.957629859447, accuracy=0.794559121132
epoch 50 / 100
train mean loss=0.00101482495666, accuracy=0.999895751476
 test mean loss=0.946494162083, accuracy=0.797373354435
epoch 51 / 100
train mean loss=0.00101642066147, accuracy=0.999895751476
 test mean loss=0.943590700626, accuracy=0.798311471939
epoch 52 / 100
train mean loss=0.00104679213837, accuracy=0.999791562557
 test mean loss=0.932873547077, accuracy=0.798311471939
epoch 53 / 100
train mean loss=0.197424158454, accuracy=0.931422591209
 test mean loss=0.929161310196, accuracy=0.737335860729
epoch 54 / 100
train mean loss=0.22995685041, accuracy=0.907764434814
 test mean loss=0.696066379547, accuracy=0.755159497261
epoch 55 / 100
train mean loss=0.0673568993807, accuracy=0.975820720196
 test mean loss=0.794369339943, accuracy=0.785178244114
epoch 56 / 100
train mean loss=0.0219858363271, accuracy=0.993642508984
 test mean loss=1.01482141018, accuracy=0.785178244114
epoch 57 / 100
train mean loss=0.0155364815146, accuracy=0.994893193245
 test mean loss=1.05736553669, accuracy=0.794559121132
epoch 58 / 100
train mean loss=0.00286764767952, accuracy=0.999687314034
 test mean loss=1.13148772717, accuracy=0.794559121132
epoch 59 / 100
train mean loss=0.00126776262186, accuracy=0.999791562557
 test mean loss=1.15539705753, accuracy=0.789868652821
epoch 60 / 100
train mean loss=0.000940073572565, accuracy=0.999791562557
 test mean loss=1.14811563492, accuracy=0.791744828224
epoch 61 / 100
train mean loss=0.000891919480637, accuracy=0.999791562557
 test mean loss=1.13739931583, accuracy=0.780487775803
epoch 62 / 100
train mean loss=0.000866991525982, accuracy=0.999791562557
 test mean loss=1.12585520744, accuracy=0.787992477417
epoch 63 / 100
train mean loss=0.000865950598381, accuracy=0.999791562557
 test mean loss=1.10467350483, accuracy=0.787054419518
epoch 64 / 100
train mean loss=0.000805217889138, accuracy=0.999895751476
 test mean loss=1.07936859131, accuracy=0.785178244114
epoch 65 / 100
train mean loss=0.000886767811608, accuracy=0.999687314034
 test mean loss=1.06823158264, accuracy=0.793621003628
epoch 66 / 100
train mean loss=0.000861704756971, accuracy=0.999791562557
 test mean loss=1.05404520035, accuracy=0.787992477417
epoch 67 / 100
train mean loss=0.000887066184077, accuracy=0.999895751476
 test mean loss=1.03849673271, accuracy=0.78330206871
epoch 68 / 100
train mean loss=0.000933701405302, accuracy=0.999791562557
 test mean loss=1.02640938759, accuracy=0.790806770325
epoch 69 / 100
train mean loss=0.000915293290745, accuracy=0.999895751476
 test mean loss=1.01127028465, accuracy=0.788930594921
epoch 70 / 100
train mean loss=0.000951251538936, accuracy=0.999895751476
 test mean loss=1.00382387638, accuracy=0.787992477417
epoch 71 / 100
train mean loss=0.000945110805333, accuracy=0.999895751476
 test mean loss=0.989941120148, accuracy=0.786116302013
epoch 72 / 100
train mean loss=0.00102599500678, accuracy=0.999791562557
 test mean loss=0.985183238983, accuracy=0.787992477417
epoch 73 / 100
train mean loss=0.00104526302312, accuracy=0.999791562557
 test mean loss=0.980907678604, accuracy=0.788930594921
epoch 74 / 100
train mean loss=0.00103964062873, accuracy=0.999895751476
 test mean loss=0.96762573719, accuracy=0.793621003628
epoch 75 / 100
train mean loss=0.00107409188058, accuracy=0.999791562557
 test mean loss=0.96080237627, accuracy=0.791744828224
epoch 76 / 100
train mean loss=0.00111547438428, accuracy=0.999791562557
 test mean loss=0.958118140697, accuracy=0.78424012661
epoch 77 / 100
train mean loss=0.00104479969013, accuracy=0.999791562557
 test mean loss=0.960172712803, accuracy=0.781425893307
epoch 78 / 100
train mean loss=0.00109794933815, accuracy=0.999895751476
 test mean loss=0.956243097782, accuracy=0.789868652821
epoch 79 / 100
train mean loss=0.255616098642, accuracy=0.908077120781
 test mean loss=1.06287944317, accuracy=0.714821755886
epoch 80 / 100
train mean loss=0.190257444978, accuracy=0.928400218487
 test mean loss=0.648780405521, accuracy=0.785178244114
epoch 81 / 100
train mean loss=0.0657016038895, accuracy=0.975299656391
 test mean loss=0.827769756317, accuracy=0.774859309196
epoch 82 / 100
train mean loss=0.0270544011146, accuracy=0.991766571999
 test mean loss=0.980751395226, accuracy=0.774859309196
epoch 83 / 100
train mean loss=0.00939263217151, accuracy=0.997915565968
 test mean loss=1.0611679554, accuracy=0.772045016289
epoch 84 / 100
train mean loss=0.00345081137493, accuracy=0.999478876591
 test mean loss=1.11957705021, accuracy=0.782363951206
epoch 85 / 100
train mean loss=0.00129692011978, accuracy=0.999687314034
 test mean loss=1.16876411438, accuracy=0.774859309196
epoch 86 / 100
train mean loss=0.000921090773772, accuracy=0.999791562557
 test mean loss=1.12965428829, accuracy=0.7776735425
epoch 87 / 100
train mean loss=0.000831299053971, accuracy=0.999791562557
 test mean loss=1.11404311657, accuracy=0.7767354846
epoch 88 / 100
train mean loss=0.000814964936581, accuracy=0.999791562557
 test mean loss=1.10233199596, accuracy=0.775797367096
epoch 89 / 100
train mean loss=0.000847681192681, accuracy=0.999687314034
 test mean loss=1.11263024807, accuracy=0.782363951206
epoch 90 / 100
train mean loss=0.000838459527586, accuracy=0.999791562557
 test mean loss=1.07598984241, accuracy=0.774859309196
epoch 91 / 100
train mean loss=0.000903496227693, accuracy=0.999687314034
 test mean loss=1.05286359787, accuracy=0.7767354846
epoch 92 / 100
train mean loss=0.000880568113644, accuracy=0.999687314034
 test mean loss=1.04810941219, accuracy=0.771106958389
epoch 93 / 100
train mean loss=0.000880677427631, accuracy=0.999895751476
 test mean loss=1.02609598637, accuracy=0.7767354846
epoch 94 / 100
train mean loss=0.000903017353266, accuracy=0.999791562557
 test mean loss=1.00829601288, accuracy=0.779549717903
epoch 95 / 100
train mean loss=0.000937609234825, accuracy=0.999895751476
 test mean loss=0.998904585838, accuracy=0.778611660004
epoch 96 / 100
train mean loss=0.000919404672459, accuracy=0.999895751476
 test mean loss=1.00067543983, accuracy=0.78424012661
epoch 97 / 100
train mean loss=0.00102395901922, accuracy=0.999895751476
 test mean loss=0.981470286846, accuracy=0.778611660004
epoch 98 / 100
train mean loss=0.000962274963968, accuracy=0.999895751476
 test mean loss=0.981719315052, accuracy=0.781425893307
epoch 99 / 100
train mean loss=0.00105374585837, accuracy=0.999895751476
 test mean loss=0.965243399143, accuracy=0.7776735425
epoch 100 / 100
train mean loss=0.0010376109276, accuracy=0.999895751476
 test mean loss=0.955474376678, accuracy=0.773921191692
===============  2 / 10 ===============
epoch 1 / 100
train mean loss=0.574525237083, accuracy=0.685773849487
 test mean loss=0.532845079899, accuracy=0.730769217014
epoch 2 / 100
train mean loss=0.446497410536, accuracy=0.79593539238
 test mean loss=0.449660003185, accuracy=0.782363951206
epoch 3 / 100
train mean loss=0.389221727848, accuracy=0.825534105301
 test mean loss=0.497731506824, accuracy=0.7767354846
epoch 4 / 100
train mean loss=0.331818014383, accuracy=0.857321500778
 test mean loss=0.477186799049, accuracy=0.78330206871
epoch 5 / 100
train mean loss=0.272693634033, accuracy=0.889630019665
 test mean loss=0.520587980747, accuracy=0.786116302013
epoch 6 / 100
train mean loss=0.224485084414, accuracy=0.904742062092
 test mean loss=0.548817813396, accuracy=0.798311471939
epoch 7 / 100
train mean loss=0.153886422515, accuracy=0.940281391144
 test mean loss=0.785590410233, accuracy=0.765478432178
epoch 8 / 100
train mean loss=0.106932103634, accuracy=0.959562301636
 test mean loss=0.999506115913, accuracy=0.757035672665
epoch 9 / 100
train mean loss=0.0614385232329, accuracy=0.976862967014
 test mean loss=0.940851211548, accuracy=0.7767354846
epoch 10 / 100
train mean loss=0.0408307984471, accuracy=0.985930144787
 test mean loss=1.01033520699, accuracy=0.785178244114
epoch 11 / 100
train mean loss=0.0285346806049, accuracy=0.989994764328
 test mean loss=1.20603978634, accuracy=0.779549717903
epoch 12 / 100
train mean loss=0.0107075851411, accuracy=0.997186005116
 test mean loss=1.26506698132, accuracy=0.785178244114
epoch 13 / 100
train mean loss=0.00586092704907, accuracy=0.998957812786
 test mean loss=1.30804550648, accuracy=0.786116302013
epoch 14 / 100
train mean loss=0.00196431600489, accuracy=0.999583125114
 test mean loss=1.34325158596, accuracy=0.785178244114
epoch 15 / 100
train mean loss=0.00121871405281, accuracy=0.999687314034
 test mean loss=1.33446824551, accuracy=0.78424012661
epoch 16 / 100
train mean loss=0.00117617438082, accuracy=0.999687314034
 test mean loss=1.32868337631, accuracy=0.787992477417
epoch 17 / 100
train mean loss=0.00106294162106, accuracy=0.999583125114
 test mean loss=1.30923736095, accuracy=0.785178244114
epoch 18 / 100
train mean loss=0.00105003791396, accuracy=0.999583125114
 test mean loss=1.30288946629, accuracy=0.785178244114
epoch 19 / 100
train mean loss=0.000999656040221, accuracy=0.999687314034
 test mean loss=1.27228498459, accuracy=0.786116302013
epoch 20 / 100
train mean loss=0.0010102011729, accuracy=0.999687314034
 test mean loss=1.25009727478, accuracy=0.78424012661
epoch 21 / 100
train mean loss=0.00112867972348, accuracy=0.999583125114
 test mean loss=1.23311674595, accuracy=0.787992477417
epoch 22 / 100
train mean loss=0.00117215211503, accuracy=0.999583125114
 test mean loss=1.20705592632, accuracy=0.786116302013
epoch 23 / 100
train mean loss=0.00122712401208, accuracy=0.999583125114
 test mean loss=1.19913589954, accuracy=0.787054419518
epoch 24 / 100
train mean loss=0.00117565644905, accuracy=0.999374687672
 test mean loss=1.18264234066, accuracy=0.786116302013
epoch 25 / 100
